title,categories,disposals,description,warnings
Hifi-Anlage,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Heu/Stroh,,,"Bei den Wertstoffhöfe werden diese Abfälle aus Privathaushalten in einer Anlieferung pro Kalendertag bis zu einer Gesamtmenge von insgesamt 1 m³ kostenlos angenommen.Wenn gelegentlich mehr Abfall entsteht, kann er im Kompostwerk der Deponien kostenpflichtig angeliefert werden.Für gewerbliche Anlieferungen wenden Sie sich bitte an den aha- Gewerbekundenservice.",
Herkulesstaude,,"Wertstoffhof,Deponie","Bitte verpacken Sie die giftigen Pflanzen gut und gesondert von anderen Materialien.Bis zu 1 m³ (Gesamtmenge/ haushaltsübliche Mengen) Ihrer giftigen oder invasiven Pflanzen täglich können Sie kostenlos auf den Wertstoffhöfen der Region Hannover (im Sperrabfall) abgeben. Größere Mengen können Sie kostenpflichtig an den Deponien der Region Hannover abgeben. Bitte beachten Sie hierzu die Preisliste für die Deponieanlieferung unter folgendem Link: aha Zweckverband Abfallwirtschaft Region Hannover: Abfallbehandlung und DeponienHier finden Sie die Annahmebedingungen unserer Wertstoffhofe, hier die der Deponien.",
Herd,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Heraklithplatten,,"Wertstoffhof,Deponie",Täglich können bis zu 1 m³ Heraklithplatten (aus Privathaushalten) auf den Deponien und Wertstoffhöfen der Region Hannover über den Sperrabfallcontainer entsorgt werden.,
Helme,Restabfall,,Alte Helme können Sie über die Restabfalltonne entsorgen.,
Heliumflaschen,,"Wertstoffhof,Deponie","Druckentleert Heliumflaschen (eine Anleitung, wie Heliumflaschen gefahrlos entleert werden können, finden Sie hier) werden auf den Wertstoffhöfen und den Deponien der Region Hannover angenommen. Sie gelten nicht als Sonderabfall.",
Heizungen,,"Wertstoffhof,Deponie",Bis zu 1 m³ Ihrer alten Heizkörper aus Metall (entleert) aus privaten Haushalten können Sie täglich auf den Deponien und Wertstoffhöfen der Region Hannover über den Altmetallcontainer entsorgen.,
Heizpilze (mit Gasbetrieben),,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Heizpilze die mit Gas betrieben werden, können nach Entfernung der Gasflasche im Altmetallcontainer kostenfrei auf den Wertstoffhöfen und Deponien entsorgt werden. Auch werden Sie bei der kostenfreien Sperrmüllabfuhr mitgenommen (hierfür darf keine Elektronik in dem Heizpilz verbaut sein). Bis zu 5 m³ Sperrabfall können Sie kostenlos abholen lassen. Dabei sollten die Gegenstände eine Länge von 2 m und eine Gewicht von max. 75 kg nicht überschreiten. Bitte vereinbaren Sie einen Termin - online oder telefonisch.Wichtiger Hinweis: Glastische können nicht bei der Sperrabfallabfuhr mitgenommen werden. Bitte bringen Sie diese für die Entsorgung zu den Wertstoffhöfe oder Deponien. ",
Heizöltank,,Deponie,"Öl- und Benzintanks müssen vor ihrer Entsorgung durch Fachbetriebe gereinigt werden, siehe &lt;link http: www.gelbeseiten.de yp quick.yp external-link-new-window einen externen link in einem neuen&gt;Gelbe Seiten. Die Verwertung leerer, sauberer Metalltanks kann durch den Schrotthandel erfolgen. Saubere, zerkleinerte Kunststofftanks nehmen die Deponien an.",
Heizkessel,,,Heizkessel werden weder auf den Wertstoffhöfen noch den Deponien der Region Hannover angenommen. Bitte wenden Sie sich bezüglich der Entsorgung an einen Fachhandel oder Schrotthändler aus dem Internet oder dem Branchenbuch.,
Heimtrainer,,,"Bis zu zwei Heimtrainer mit Elektronik täglich werden an den Annahmestellen für Elektrogroßgeräte kostenlos entgegen genommen. Eine Liste der Annahmestellen für Elektrogroßgeräte finden Sie unter https://www.aha-region.de/elektro. Heimtrainer ohne elektrische Bauteile können Sie kostenlos auf den Deponien und Wertstoffhöfen der Region Hannover über den Metallcontainer entsorgen oder über die kostenlose Sperrmüllabholung direkt von zu Hause abholen lassen.Massive Gegenstände aus Metall, die aus Vollmaterial bestehen (z.B. Schwungräder, Hantelscheiben, Metallstangen) können leider aus Gründen der Arbeitssicherheit bei den nachfolgenden Verarbeitungsschritten nicht bei der Sperrabfallabfuhr mitgenommen werden.Für die Entsorgung dieser Metallteile vereinbaren Sie bitte einen gesonderten Abholtermin (kostenpflichtig) oder nutzen die Abgabemöglichkeit auf einem unserer Wertstoffhöfe.",
Heizkörper,,"Wertstoffhof,Deponie",Bis zu 1 m³ Ihrer alten Heizkörper aus Metall (entleert) aus privaten Haushalten können Sie täglich auf den Deponien und Wertstoffhöfen der Region Hannover über den Altmetallcontainer entsorgen.,
Heimsolarien,,,"Heim- und Gesichtssolarien zählen zu den nichthaushaltsüblichen Gegenständen, sie können nur als Großelektronikgerät ohne Solariumröhren auf den drei Regionsdeponien abgegeben werden. Wertstoffhöfe nehmen Solarien nicht entgegen.",
Heckenschere,Wertstoff,Wertstoffhof,"Massive Gegenstände aus Metall, die aus Vollmaterial bestehen (z.B. Schwungräder, Hantelscheiben, Metallstangen, Heimtrainer ohne Elektronik usw.), können aus Gründen der Arbeitssicherheit bei den nachfolgenden Verarbeitungsschritten nicht bei der Sperrabfallabfuhr mitgenommen werden.Für die Entsorgung dieser Metallteile vereinbaren Sie bitte einen gesonderten Abholtermin (kostenlos) oder nutzen die Abgabemöglichkeit auf einem unserer Wertstoffhöfe (kostenlos).Wichtiger Hinweis: Termine für die separate Abholung können nur telefonisch oder per E-Mail vereinbart werden.Für weitere Informationen kontaktieren Sie uns unter der Telefonnr. 0800 999 11 oder https://www.aha-region.de/kontaktformular",
Heckenschnitt,,"Wertstoffhof,Biotonne,Grüngutannahmestellen,Deponie","Bei den Wertstoffhöfen und Grüngutannahmestellen werden Baum-, Strauch- und Heckenschnitt (bis 15 cm Astdurchmesser und einer maximalen Länge von 150 cm) aus Privathaushalten in einer Anlieferung pro Kalendertag bis zu einer Gesamtmenge von insgesamt 1 m³ kostenlos angenommen.Wenn gelegentlich mehr Abfall entsteht, kann er im Kompostwerk der Deponien kostenpflichtig angeliefert werden. ",
Hartkunststoff PE/PP,Wertstoff,Wertstoffhof,"Sammlung Polyethylen/PolypropylenSie können bis zu 1 m³ Ihrer großteilige Hartkunststoffe (z.B. Stühle und Tische, Tonnen, Rohre, Fässer usw.) auf allen Wertstoffhöfen separat abgeben. Mengen über 1 m³ können gegen Gebühr auf der Deponie in Hannover-Lahe abgegeben werden.",
Hannoccino,,,"Hannoccinobecher sind Pfandkaffeebecher, die immer wieder genutzt werden können. Sollte ein Hannoccinobecher einmal ausgedient haben, kann dieser gegen der Auszahlung des Pfandgeldes bei einer Wechselstube zurückgegeben werden, dort werden auch beschädigte Hannoccinobecher entgegengenommen.",
Handy,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Halonlöscher,,"Wertstoffhof,Deponie","Feuerlöscher werden nach Vorlage des Kaufbeleges vom Fachhandel zurückgenommen. Sollte dieser nicht mehr vorliegen, können bis zu zwei Feuerlöschern täglich auf den Wertstoffhöfen oder den Deponien der Region Hannover abgegeben werden.",
Hammondorgel,,,"Die Entsorgung eines Klaviers erfolgt ausschließlich über einen 15 m³-Container mit Türen. Der Transport in den Container muss vom Besitzer organisiert werden (z. B. Umzugsunternehmen, Arbeitsamt, Studentenwerk o. ä.). Aufgrund des Gewichts sind Klaviere von der Sperrabfallabfuhr und von der Entsorgung auf den Wertstoffhöfen ausgeschlossen.Sie haben Fragen zum Containerservice? Unser Vertrieb berät Sie gern: 0511 - 9911 47899.",
Häckselgut,,"Wertstoffhof,Grüngutannahmestellen,Deponie","Bis zu 1m³ an frischem Häckselgut kann im eigenen Garten, auf unseren Wertstoffhöfen oder an unseren Grüngut-Annahmestellen entsorgt werden.Länger gelagertes das Häckselgut/ länger liegendes Häckselgut bis zu 1m³ wird ausschließlich auf den Wertstoffhöfe entgegengenommen.Größere Mengen an Häckselgut können kostenpflichtig auf den Deponien der Region Hannover angeliefert werden. Alternativ kann Häckselgut auch auf dem eigenen Grundstück Kompostiert werden.",
Haarfärbemittelreste,Sonderabfall,Deponie Hannover - Sonderabfallannahmestelle,"Haarfärbemittelreste zählen zu den gefährlichen Sonderabfällen. Bis zu 30Kg an alten Haarfärbemitteln aus privaten Haushalten täglich, können Sie kostenlos auf den Wertstoffhöfen der Region Hannover oder an der Sonderabnahmestelle der Deponie Lahe abgeben. Wichtig: Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Haare,Restabfall,Restabfalltonne,Federn und Haare können über die Restabfallentsorgung (Restabfallbehälter) entsorgt werden.,
Eternitplatten,,,Welldacheternit ist meist asbesthaltig und zählt so zur Gruppe der gefährlichen Abfälle (Sonderabfall). Bis zu 16 kg luftdicht verpacktes Asbest wird auf der Deponie Hannover gebührenfrei entgegengenommen. Bitte melden Sie Ihre Anlieferung unbedingt vorher telefonisch an: 0511 9911- 678 29.,
Estrichstaub,,,"Schleifstäube von Beton-/ Estrich-/ oder Parkettböden werden, auf Grund der von Ihnen ausgehenden Explosionsgefahr, weder auf den Wertstoffhöfen noch den Deponien der Region Hannover entgegengenommen. Bitte wenden Sie sich für die Entsorgung von Schleifstäuben an eine externe Firma aus dem Branchenbuch/-verzeichnis oder dem Internet.",
Estrich/Estrichbeton,,,"Estrich (ohne Anhaftungen o.ä.) nimmt die Deponie Lahe in kleinen Mengen (1-3 Eimer) zur Entsorgung entgegen. Sollten Sie große Mengen Estrich oder Estrich im Verbund mit anderen Materialen entsorgen wollen, bitten wir Sie, sich an eine Fachfirma zu wenden. aha nimmt diese weder auf den Deponie noch auf den Wertstoffhöfen entgegen.",
Essensreste,Restabfall,Restabfalltonne,Reste gekochter Speisen gehören in den Restabfallbehälter. Sie dürfen weder über die Biotonne noch über die Toilette entsorgt werden. Ungekochte pflanzliche Küchenabfälle können auf dem häuslichen Komposthaufen verwertet oder in die Bioabfallsammlung gegeben werden.,
"Erde mit größerem Stein-, Findling- und Wurzelanteil",,,"Bis zu einer Menge von 1 m³ pro Anlieferung und Tag wird Bodenaushub aus Privathaushalten auf den Wertstoffhöfen der drei Deponien (Hannover, Kolenfeld und Burgdorf) kostenlos angenommen. Der Boden darf geringe Anteile von Steinen, Findlingen und Wurzelwerk (Kantenlänge max. 15cm) enthalten.",
Erde,,Deponie,"Bis zu einer Menge von 1 m³ pro Anlieferung und Tag an Bodenaushub aus Privathaushalten wird auf den Wertstoffhöfen der drei Deponien (Hannover, Kolenfeld und Burgdorf) kostenlos angenommen.Der Boden darf geringe Anteile von Steinen, Findlingen und Wurzelwerk (Kantenlänge max. 15cm) enthalten.Bitte beachten Sie, dass eine Abladung händisch erfolgen muss, da das Abkippen eines Anhängers nicht möglich ist. Für die Abladung empfehlen wir Schaufeln mitzubringen.Bitte beauftragen Sie zur Entsorgung von größeren Mengen an Bodenaushub eine externe Firma aus dem Branchenverzeichnis/ -buch oder dem Internet.  ",
Epoxidharz,Sonderabfall,Deponie Hannover - Sonderabfallannahmestelle,"Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.  ",
Entwicklerflüssigkeit,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Entkalker,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Engelshaar,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
Energiesparlampen,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Elektronische Diabetes Pflaster,Elektrogeräte,"Wertstoffhof,Deponie","Elektronische Diabetes Pflaster zählen auf Grundlage Ihrer Bestandteile als Elektronik Gerät, sie können auf den Wertstoffhöfen und Deponien als Kleinelektronik Gerät abgegeben werden.Bitte verpacken Sie ggf. die scharfen Bestandteile der Pflaster vor der Abgabe, da hier sonst ein zu großes Verletzungsrisiko für unsere Mitarbeiterinnen und Mitarbeiter entsteht.",
Elektroschrott,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Elektrokabel,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Elektroheizpilze,Elektrogeräte,"Wertstoffhof,Deponie","Am 1.12.2018 traten Anpassungen des Elektro- und Elektronikgesetzes inkraft, die Änderungen bei der Annahme von Elektrogeräten erforderten. Die Sammlung der Elektrogeräte muss in verschiedenen Gruppen in getrennten Containern erfolgen. Die Bereitstellung dieser Container erfordert zusätzlichen Platz auf den Wertstoffhöfen. Da dieser nicht überall zur Verfügung steht, können Elektro-Großgeräte (wie Waschmaschine oder Kühlschrank) seit Dezember 2018 nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden (max. 2 Großgeräte pro Tag). Elektro-Kleingeräte können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Pro Tag können zwei Großgeräte und eine haushaltsübliche Menge an Kleingeräten abgegeben werden, größere Mengen nehmen nur die Deponien in Burgdorf und Wunstorf an.",
Elektroherd,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Einwegkaffeebecher,Leichtverpackungen,Gelbe Tonne,"Genutzte Einwegkaffeebecher können über die Gelbe Tonne entsorgt werden, sie gehören auf Grund einer speziellen Beschichtung der Pappe/ des Papieres nicht in die Altpapierentsorgung.",
Elektroheizkörper,,,"Haushaltsübliche Mengen Ihrer Elektroheizkörper können als Elektroschrott auf den Deponien und Wertstoffhöfen der Region Hannover abgegeben werden. Wichtig ist, dass Heizkörper mit einer Kantenlänge von über 50 cm nur auf den Annahmestellen für Großgeräte angenommen werden können. Eine Liste der Standorte, die kleine und große Elektronikabfälle annehmen, finden Sie hier.Bitte beachten Sie, dass täglich nur bis zu 2 zwei Großgeräte abgegeben werden dürfen. Größere Mengen können Sie kostenpflichtig auf den Deponien in Lahe und Burgdorf entsorgen. Auf Wunsch holen wir Großgeräte auch bei Ihnen zu Hause ab. Eine Entsorgungsplakette bekommen Sie gegen Gebühr auf unseren Wertstoffhöfen. Anschließend können Sie beim aha-Service unter (0800) 999 11 99 einen Abholtermin vereinbaren. Dabei kann auch eine Bezahlung per Rechnung vereinbart werden.",
Elektroheizgeräte,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Einwickelpapier (für Bioabfall),,Biotonne,"Ungebleichtes Papier in kleinen Mengen (nur Einzelblätter) kann zum Einwickeln des feuchten Bioabfalls in der Biotonne verwendet werden.Keine dicken Schichtlagen, kein Hochglanzpapier und möglichst keine Küchentücher, da sich diese nur schwer zersetzen.",
